"ID","PM25","Temperatura","Wilgotnosc","Cisnienie"
8077,4.03,4.23,95.06,1012.04
10211,7.19,2.39,85.57,1012.04
87160,11.82,4.26,95.38,1015.05
103967,NA,NA,NA,NA
103904,8.28,5.33,92.05,1014.28
86934,4.68,3.69,95.06,1011.19
58,NA,NA,NA,NA
17,7.72,NA,NA,NA
87166,NA,NA,NA,NA
87164,9.71,2.42,92.3,1014.74
10043,7.81,2.54,91.98,1012.42
101557,6.42,NA,NA,1013.72
8076,3.3,3.92,94.82,NA
103969,11.05,4.38,94.27,1015.63
37818,6.82,3.05,95,1012.12
86949,5.53,3.87,96,1011.1
2935,6.03,3.94,94.94,1013.78
38444,7.97,2.81,94.75,1012.79
39735,5.77,3.62,96.13,1010.58
106665,5.31,3.7,95.95,1011.49
86936,5.07,4.06,76.06,1011.51
8165,6.63,3.99,95.04,1011.3
10053,11.9,2.52,91.92,1012.7
10039,9.04,2.53,91.96,1012.54
1026,5.49,4.45,71.41,1010.89
86941,5.57,3.95,94.75,1010.95
86980,10.37,3.68,95.75,1011.12
90118,5.62,3.32,94.87,1013.43
86909,5.4,3.9,94.13,1013.18
39577,11.16,4.55,95.13,1012.86
18410,NA,NA,NA,NA
87029,6.01,NA,NA,1013.56
86932,8.93,4.25,95.13,1010.84
60,NA,NA,NA,NA
86904,4.63,3.89,70.38,1011.8
97303,8.71,4.42,95,1012.54
10279,7.77,2.17,72.53,1011.79
43068,7.42,3.49,96.01,1012.58
10042,10.24,2.2,93.01,1014.01
10032,5.8,3.68,82.09,NA
86918,4.8,3.48,83.55,1011.87
80731,8.68,3.47,83.72,1011.84
86898,NA,NA,NA,NA
103971,10.21,4.12,93.59,1014.45
86906,6.34,3.62,94.75,1012.83
41210,5.95,3.15,71.98,1012.09
87058,7.13,2.99,94.63,1011.67
8973,6.63,NA,NA,1011.36
40699,8.88,2.71,94.4,1013.59
7956,6.93,2.72,80.57,1010.34
33033,7.42,3.38,94.94,1012.67
86901,NA,NA,NA,NA
103387,9.4,2.93,94.81,1012.04
86915,5.1,4,94.94,1011.2
7634,NA,NA,NA,NA
90388,5.82,3.74,90.92,1012.62
10463,6.81,2.75,94.8,1012.08
32907,8.49,NA,NA,1012.4
11248,9.18,2.91,88.81,1011.22
86896,5.33,3.55,95.05,1011.65
40571,6.95,3.26,94.94,1012.82
18,NA,NA,NA,NA
42665,3.97,5.24,95.5,1010.95
86899,9.17,5.69,95.04,1013.05
86840,NA,NA,NA,NA
90552,6.21,4.08,93.61,1013.5
86905,7.12,4.14,94.94,1010.23
103311,5.54,5.72,89.76,1012.88
41246,6.96,3.5,95.88,1011.8
5651,7.34,4.17,94.94,1010.99
2513,11.01,4.17,94.94,1012.47
36605,10.57,3.6,94.94,1011.33
7456,9.1,3.79,94.75,1009.05
5624,4.98,3.86,96,1013.65
87014,10.56,2.94,91.52,1012.61
11473,8.24,3.61,96.13,1011.66
98153,14.15,5.25,90.72,1011.99
59,NA,NA,NA,NA
86917,NA,NA,NA,NA
7617,10.11,3.29,70.05,1010.44
39433,5.45,3.74,95.5,1012.19
86800,6.59,3.63,96,1012.73
8979,8.26,3.5,94.94,1011.33
86920,NA,NA,NA,NA
86914,6.2,3.11,95,1011.92
238,6.34,3.24,94.87,1012.94
36475,7.35,3.74,95.13,1011.85
36654,9.69,2.68,94.75,1011.61
7758,NA,NA,NA,NA
9077,9.52,3.36,94.75,1010.76
7844,7.26,3.39,95.95,1011.49
102630,12.19,3.63,87.43,1011.24
86910,4.81,3.82,96.13,1011.91
86925,7.14,3.82,76.48,1011.84
86961,11.06,4.13,96.38,1012.72
6070,8.09,3.11,94.75,1012.31
6147,8.8,3.65,94.94,1010.69
33053,9.33,3.39,95.88,1011.65
19,4.33,NA,NA,NA
86998,NA,NA,NA,NA
38615,NA,NA,NA,NA
5709,NA,NA,NA,NA
7683,NA,NA,NA,NA
18769,NA,NA,NA,NA
101102,NA,NA,NA,NA
86902,NA,NA,NA,NA
12001,NA,NA,NA,NA
18768,NA,NA,NA,NA
82510,NA,NA,NA,NA
86963,NA,NA,NA,NA
7915,NA,NA,NA,NA
6068,NA,NA,NA,NA
101104,NA,NA,NA,NA
32985,NA,NA,NA,NA
7554,NA,NA,NA,NA
42516,NA,NA,NA,NA
96339,NA,NA,NA,NA
82333,NA,NA,NA,NA
246,NA,NA,NA,NA
90148,NA,NA,NA,NA
2865,NA,NA,NA,NA
36477,NA,NA,NA,NA
13167,NA,NA,NA,NA
36480,NA,NA,NA,NA
8152,NA,NA,NA,NA
7467,NA,NA,NA,NA
7768,NA,NA,NA,NA
103261,NA,NA,NA,NA
36742,NA,NA,NA,NA
10051,NA,NA,NA,NA
7584,NA,NA,NA,NA
7917,NA,NA,NA,NA
32871,NA,NA,NA,NA
7385,NA,NA,NA,NA
31130,NA,NA,NA,NA
397,NA,NA,NA,NA
5649,NA,NA,NA,NA
5759,NA,NA,NA,NA
11958,NA,NA,NA,NA
103326,NA,NA,NA,NA
354,NA,NA,NA,NA
43262,NA,NA,NA,NA
33052,NA,NA,NA,NA
9996,NA,NA,NA,NA
2467,NA,NA,NA,NA
7656,NA,NA,NA,NA
7427,NA,NA,NA,NA
811,NA,NA,NA,NA
335,NA,NA,NA,NA
11359,NA,NA,NA,NA
101090,NA,NA,NA,NA
7386,NA,NA,NA,NA
11337,NA,NA,NA,NA
86610,NA,NA,NA,NA
6076,NA,NA,NA,NA
32810,NA,NA,NA,NA
36808,NA,NA,NA,NA
11483,NA,NA,NA,NA
7383,NA,NA,NA,NA
13209,NA,NA,NA,NA
90353,NA,NA,NA,NA
102632,NA,NA,NA,NA
7055,NA,NA,NA,NA
33050,NA,NA,NA,NA
98109,NA,NA,NA,NA
37252,NA,NA,NA,NA
40334,NA,NA,NA,NA
492,NA,NA,NA,NA
18506,NA,NA,NA,NA
37595,NA,NA,NA,NA
64,NA,NA,NA,NA
86715,NA,NA,NA,NA
521,NA,NA,NA,NA
100427,NA,NA,NA,NA
9008,NA,NA,NA,NA
2832,NA,NA,NA,NA
101120,NA,NA,NA,NA
12010,NA,NA,NA,NA
366,NA,NA,NA,NA
7850,NA,NA,NA,NA
503,NA,NA,NA,NA
7012,NA,NA,NA,NA
87002,NA,NA,NA,NA
97487,NA,NA,NA,NA
18622,NA,NA,NA,NA
8126,NA,NA,NA,NA
2827,NA,NA,NA,NA
615,NA,NA,NA,NA
2066,NA,NA,NA,NA
326,NA,NA,NA,NA
620,NA,NA,NA,NA
86723,NA,NA,NA,NA
40916,NA,NA,NA,NA
87003,NA,NA,NA,NA
82310,NA,NA,NA,NA
37719,NA,NA,NA,NA
87191,NA,NA,NA,NA
6887,NA,NA,NA,NA
31100,8.09,3.01,70.78,1010.62
18512,NA,NA,NA,NA
2545,6.76,4.06,96.25,1012.24
2599,4.21,3.77,95.5,1012.51
11990,7.76,2.82,95.5,1011.66
87172,14.54,3.14,95.61,1013.06
32808,12.99,2.75,76.88,1012.21
90144,7.21,3.03,95.5,1012.03
6116,9.59,3.58,70.8,1013.58
7912,7.74,2.7,95.5,1010.95
37250,14.97,2.87,95.5,1011.65
7384,7.82,2.61,70.94,1011.52
318,5.93,3.1,76.44,1011.15
86688,NA,NA,NA,NA
39463,32.95,3.72,96,1013.2
2869,10.19,3.84,96.5,1012.88
11336,7.07,3.36,96.47,1010.77
2655,5.98,4.18,95.88,1013.54
103086,12.58,2.36,93.53,1012.77
98106,10.92,4.68,94.2,1011.74
18766,8.48,2.39,94.66,1013.03
6628,10.12,3.83,95.88,1009.87
2739,13.18,3.78,83.04,1011.99
9106,NA,NA,NA,NA
101088,6.93,5.82,71.22,1012.95
32851,NA,NA,NA,NA
5761,7.75,2.9,94.63,1011.06
98156,22.12,4.91,95.48,1005.78
36939,7.52,2.49,94.42,1010.65
35766,3.97,3.32,95.63,1011.5
87286,11.9,3.49,96.44,1012.22
2554,5.45,2.73,95.5,1013.31
90026,6.97,3.24,89.65,1011.73
6649,16.88,3.98,83.49,1009.84
100095,11.35,5.16,93.16,1013.6
7458,8.19,3.42,70.79,1010.74
6072,3.59,3.32,95.25,1010.94
6891,12.27,2.12,94.6,1010.31
11338,9.86,4.51,95.88,1012.63
2651,7.11,2.23,99.4,1012.79
8816,11,3.31,95.5,1010.92
6456,2.65,3.33,71.51,1012.72
87053,9.21,3.67,86.7,1013.03
2975,26.99,3.7,82.45,1010.97
317,11.21,3.18,94.45,1012.71
7051,NA,NA,NA,NA
31123,4.36,3.4,95.63,1011.62
39611,3.57,2.84,95.25,1011.81
2383,6.98,2.55,70.8,1012.49
43478,12.79,3.47,95.25,1012.6
11350,12.26,3.46,95.88,1009.4
8124,10.32,3.4,95.5,1010.89
7460,6.64,2.93,93.05,1010.24
5707,NA,NA,NA,NA
388,8.46,3.71,70.68,1010.17
87134,6.06,2.93,95.5,1012.6
2419,0.54,2.09,95.5,1012.25
87136,5.97,2.5,95.09,1012.1
2581,10.3,2.49,84.27,1011.8
10478,10.57,3.68,95.5,1011.49
8154,10.08,3.46,95.31,1011.28
7687,3.18,3.36,95.25,1010.58
12091,10.86,2.6,94.5,1010.68
11334,6.73,3.11,95.19,1010.85
11335,5.93,3.22,96.2,1009.6
35752,7.28,2.86,95.25,1012.61
90555,16.4,5.23,92.1,1012.73
2454,5.36,2.52,95.5,1012.38
6093,9.41,3.72,95.5,1011.49
10363,3.9,3.67,95.25,1009.39
7580,5.44,3.19,95.25,1011.05
312,NA,NA,NA,NA
96253,15.9,3.34,88.1,1012.74
7983,NA,NA,NA,NA
38550,5.25,2.6,94.45,1010.53
37713,NA,NA,NA,NA
38551,14.83,2.4,94.94,1012.59
37248,11.12,3.1,95.31,1010.55
7059,13.99,2.88,94.5,1009.77
11672,NA,NA,NA,NA
31121,6.06,2.28,99.25,1011.87
6074,3.41,3.13,95.25,1012.7
11660,16.59,3.65,70.67,1011.83
7994,11.5,2.94,98.5,1011.5
286,2.75,3.26,95.26,1011.09
2890,9.05,3.82,93.88,1012.2
2564,0.54,2.22,75.31,1012.18
86689,9.38,3.23,95.5,1012.54
38554,8.53,2.72,86.02,1013.55
38557,6.22,2.06,94.75,1011.83
97309,17.75,4.5,92.3,1008.95
42635,6.2,3.43,96.25,1012.31
11693,4.38,3.2,95.25,1010.79
681,12.03,5.08,94.07,1012.14
7008,12.24,3.54,93.88,1010.95
2553,4.85,2.65,95.14,1012.75
371,NA,NA,NA,NA
42636,8.72,2.26,98.75,1012.34
86561,17.93,3.37,95.91,1011.25
37924,NA,NA,NA,NA
